titulo,descripcion,tipo,carrera,anio,ramo,tags,archivoUrl,rutaCarpeta
APUNTES HDD - López y Menanteau.pdf_Error,,txt,,,,,https://drive.google.com/file/d/1cHV0eRwcm6DANMHvHm7JGb9PRyVeWKv7/view?usp=drivesdk,__General/HISTORIA DEL DERECHO/López - Menanteau/Historia del Derecho I
Derecho Administrativo_ Sofía Bertín (2021) docx,,docx,,,,,https://docs.google.com/document/d/18b_ud6XwkYSnhzPYgooVaNTSymZcER26/edit?usp=drivesdk&ouid=116710984471508259337&rtpof=true&sd=true,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang - Lara
Administrativo I - Bocksang- Lara Teresita Jordán I. 2022,,pdf,,,,,https://drive.google.com/file/d/1P6pceVbtHTnkORjEPaKyOFpXeOWconwy/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang - Lara
Cordero - Prescripción de infracciones y sanciones administrativas,,pdf,,,,,https://drive.google.com/file/d/156uW30gx1Xer0Ru8DBi5HqKltUQ3cExh/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang - Lara/Bibliografía
Cordero - Prescripción de infracciones y sanciones administrativas (1),,pdf,,,,,https://drive.google.com/file/d/1PX1QSamqM8HuwVOCtHBKxx-u3JEDrCei/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang - Lara/Bibliografía
Bocksang - Derechos adquiridos y retroactividad,,pdf,,,,,https://drive.google.com/file/d/1ux9Nktq9nhFhYl-vuN7aAp0WjeZ-9RjL/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang - Lara/Bibliografía
Resumen textos BOCKSANG_ Sebastián Videla ,,pdf,,,,,https://drive.google.com/file/d/15mIIFE_5VCxYI3AGlVbkCIYwid-4S1MS/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang (solo)
RESUMEN TEXTOS ADMINISTRATIVO I BOCKSANG. Sebastián Videlapdf,,pdf,,,,,https://drive.google.com/file/d/1Q_RG5wzUhTUEOuFVoijJO7_a_V6Y6f4P/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang (solo)
Adm. 1 - Bocksang. Matías Sanhueza  (2016)pdf,,pdf,,,,,https://drive.google.com/file/d/1_avDK_oZvmcSPFlss-2_5U94V0gbfGsi/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO I/Bocksang (solo)
RESUMEN ADMINISTRATIVO II EXAMEN BOCKSANG,,pdf,,,,,https://drive.google.com/file/d/10EvSEUxsBg5inyjxSnIbgsMjTjSCYA3U/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang (solo)
RESUMEN TEXTOS Bocksang Sebastián Videla ,,pdf,,,,,https://drive.google.com/file/d/17QfSzoaKcvsha-lSCQ2wIX6oT30bDhm6/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang (solo)
RESUMEN TEXTOS SOLEMNE ADMINISTRATIVO II. Sebastián Videladocx,,docx,,,,,https://docs.google.com/document/d/1PdKXHDaPtaNDA7rojn5SiWUwFmzuwGcE/edit?usp=drivesdk&ouid=116710984471508259337&rtpof=true&sd=true,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang (solo)
Administrativo II,,docx,,,,,https://docs.google.com/document/d/1QjJaSnZ1fdumL4P9aZSvkVUgpwqcWy4q/edit?usp=drivesdk&ouid=116710984471508259337&rtpof=true&sd=true,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)
Administrativo II_ Bocksang_Lara_ Tere Jordán 2022,,pdf,,,,,https://drive.google.com/file/d/1zai7W6HwAInqBxEov0xXuBjP4QeYVX8S/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)
CGR 50122-2011,,pdf,,,,,https://drive.google.com/file/d/16L0ztQkdLoBdZJ0_hAtoQEF3igFdpCYc/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Commune de Morsang-sur-Orge,,pdf,,,,,https://drive.google.com/file/d/1A1SOCr-4CS0xLWxx4QEqbGBOjjT3i2Z1/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Ex Municipales de Vallenar,,pdf,,,,,https://drive.google.com/file/d/1FLb0U1gjaGgdfztKNc__PdlQka40LDtf/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Fernández Farfán,,pdf,,,,,https://drive.google.com/file/d/1H2u3ps_ORe3LOZe6f7YTd2oLa1iiUFp-/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Sociedad Fuchs y Plath,,pdf,,,,,https://drive.google.com/file/d/1MbAg2gX-8RmIC47rnR8qfWLTByFYKgRm/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Ureta,,pdf,,,,,https://drive.google.com/file/d/1aQ1zLg26ptUFpCBGVE8FueFcsDbUUlRQ/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Sociedad Concesiones Iquique SA (1),,pdf,,,,,https://drive.google.com/file/d/1bya01UNZb-O3AbqrVKwAApPiVdlfPqMH/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Dames Dol et Laurent,,pdf,,,,,https://drive.google.com/file/d/1gJuKPL_HUWKSh3T1D75OxGalhZ8JjBFR/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Larraín con Intendente de Santiago,,pdf,,,,,https://drive.google.com/file/d/1iymxT2h8eEE2XLzRzk2YOmamw7461Tzw/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
CGR 47491-2005,,pdf,,,,,https://drive.google.com/file/d/1jvglGkWaMqwG_SLvu1ncm4TfKYQ6L4vG/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Ábalos (1),,pdf,,,,,https://drive.google.com/file/d/1ogZvgqHf9WtI8smG7aOBgFWGZP4KLuVb/view?usp=drivesdk,General/ADMINISTRATIVO/Bocksang/ADMINISTRATIVO II/Bocksang - Lara (ADM II)/Sentencias
Cedulario Administrativo,,pdf,,,,,https://drive.google.com/file/d/1BRtcclooFMg_Xe7LN34mE3jdFjfhbn8o/view?usp=drivesdk,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO I
2024 - Derecho Administrativo I - Jorge Femenias,,pdf,,,,,https://drive.google.com/file/d/1EcybkmZBf4pNdwI6HIJLyuJWZI0VIzsD/view?usp=drivesdk,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO I
2022 Derecho Administrativo I_ Florencia Salah,,pdf,,,,,https://drive.google.com/file/d/1I0vKJGmDQLC1dmRS9EumQz47FLQpcctj/view?usp=drivesdk,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO I
2023 Resumen post solemne (1)_ Javiera Ayala,,pdf,,,,,https://drive.google.com/file/d/1grhWwqI5565Coi8Gtooq2f40_jxXXn8-/view?usp=drivesdk,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO I
2024 - Valentín del Valle,,pdf,,,,,https://drive.google.com/file/d/1uAus8qjbeR1fcmxjGIQdotaIUuhTyEqS/view?usp=drivesdk,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO I
2024 - Valentín del Valle,,docx,,,,,https://docs.google.com/document/d/1QU0GusUMkNH2SIPggZF4B0qlPk-TKH6w/edit?usp=drivesdk&ouid=116710984471508259337&rtpof=true&sd=true,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO II
Resumen DA II para examen,,pdf,,,,,https://drive.google.com/file/d/1YJxtTVGLwh2qRQtvVYeyIEttL5B_Vim4/view?usp=drivesdk,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO II
Administrativo,,pdf,,,,,https://drive.google.com/file/d/1fAmpqZnKzwwgIVi8VVbchE-_6_06tOFH/view?usp=drivesdk,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO II
Administrativo II Femenías,,docx,,,,,https://docs.google.com/document/d/1u7YJKPUzsBcMdjlwiRpgrVO-HVjD5z2H/edit?usp=drivesdk&ouid=116710984471508259337&rtpof=true&sd=true,General/ADMINISTRATIVO/FEMENÍAS/ADMINISTRATIVO II
LA ACTUACIÓN FORMAL DE LA ADMINISTRACIÓN_ ACTO Y PROCEDIMIENTO ADMINISTRATIVO,,pdf,,,,,https://drive.google.com/file/d/174boj-PlusXfMRmUzl0rGJ-3zYUPewB3/view?usp=drivesdk,General/ADMINISTRATIVO/CORDERO/Administrativo II
"ADMINISTRACIÓN, DERECHO ADMINISTRATIVO Y SUS PPIOS FUNDAMENTALES",,pdf,,,,,https://drive.google.com/file/d/17r96xMqoWrktlPWJSUNL_4JCcdGWoN5N/view?usp=drivesdk,General/ADMINISTRATIVO/CORDERO/Administrativo II
Material Docente - El control de la Administración v1  (2021) (1) (1),,pdf,,,,,https://drive.google.com/file/d/1DOSqvlRCCczJ8ncr96M-sv6Wk-GLUXgp/view?usp=drivesdk,General/ADMINISTRATIVO/CORDERO/Administrativo II
Administrativo II - Cordero,,docx,,,,,https://docs.google.com/document/d/1dzww3cAp-LibagMAjHpFbDaSmTKjI-iB/edit?usp=drivesdk&ouid=116710984471508259337&rtpof=true&sd=true,General/ADMINISTRATIVO/CORDERO/Administrativo II
"SUJETOS, RELACIONES Y ORGANIZACION DEL LA ADMIN",,pdf,,,,,https://drive.google.com/file/d/1xDIRAUx6TZxIGKYBapXga9Wy_R4HcFJe/view?usp=drivesdk,General/ADMINISTRATIVO/CORDERO/Administrativo II
