titulo,descripcion,tipo,carrera,anio,ramo,tags,archivoUrl,rutaCarpeta
Cuaderno educación para salud ,,pdf,,,,,https://drive.google.com/file/d/1zDM6CiZpQLX2k5yCysEU36nULpRnSyI1/view?usp=drivesdk,Educación para las salud
Control 4,,pdf,,,,,https://drive.google.com/file/d/1iSCExGi8X8P5wkwSh_w08wbk4U2coZYj/view?usp=drivesdk,Educación para las salud
Modelo de comunidad participante ,,pdf,,,,,https://drive.google.com/file/d/1vSgWQAqSXKHDa-Xs_SoixwWlu_MeMxeN/view?usp=drivesdk,Salud pública 
Glosario ,,pdf,,,,,https://drive.google.com/file/d/1dzlS51x789os-oetN2Ofo9AdyB1-jmUH/view?usp=drivesdk,Cuidados l
Cuidados de la enfermería 1,,pdf,,,,,https://drive.google.com/file/d/1QW7haIr7Jz21IFsugK-wNI24nb0ceMds/view?usp=drivesdk,Cuidados l
Prevención de IAAS ,,pdf,,,,,https://drive.google.com/file/d/1iFWEiSlf0EEvnNUE8Z1-bgFeBg0sGPSb/view?usp=drivesdk,Cuidados l
Examen físico pediátrico ,,pdf,,,,,https://drive.google.com/file/d/1TQxntCPjXziF9MUmv-lH5oOv3frQSExd/view?usp=drivesdk,Cuidados l
Acompañamiento al fin de la vida ,,pdf,,,,,https://drive.google.com/file/d/1dR01KWWjX_F8z2hGJzt5-gFlWySKM5Bt/view?usp=drivesdk,Cuidados l
Cardiovascular  2,,pdf,,,,,https://drive.google.com/file/d/1gi3g9dOh3F2myozcWTXkB8sIoJQ_Mk8l/view?usp=drivesdk,Fisiopatologia 
Hematología ,,pdf,,,,,https://drive.google.com/file/d/1MOQ3p-snJ3UVRXgpnnKWf4vuEAifebD5/view?usp=drivesdk,Fisiopatologia 
Hematologia,,pdf,,,,,https://drive.google.com/file/d/1EwKohpbgJf5u7fdLT2ZkJZCILvJa8tSE/view?usp=drivesdk,Fisiopatologia 
Sistemas gastrointestinal ,,pdf,,,,,https://drive.google.com/file/d/1inYibIqHS-2w0w3baRNwqM4df-zY4P6P/view?usp=drivesdk,Fisiopatologia 
Sistema inmune ,,pdf,,,,,https://drive.google.com/file/d/1bRk7SeICCSFhNmecBlWXWry8MyBSTKjI/view?usp=drivesdk,Fisiopatologia 
Tiroides y anticonceptivos ,,pdf,,,,,https://drive.google.com/file/d/1jwUamz4GYSUAr-Xzg1bQLWOqEHkO7cwO/view?usp=drivesdk,Farmacología 
Fármacos GI ,,pdf,,,,,https://drive.google.com/file/d/1eNcEEdrUqg11dtUC4cdCXgQd8tDTO6GF/view?usp=drivesdk,Farmacología 
Prueba 2  Fármaco ,,pdf,,,,,https://drive.google.com/file/d/17gHcVVwRyhk6aHrquiakU9SZV_4D9DS4/view?usp=drivesdk,Farmacología 
Cuidados del adulto  ,,pdf,,,,,https://drive.google.com/file/d/1ZCpegoJwTyObOM6jIYsLKqTBKoujsYmB/view?usp=drivesdk,Cuidados del adulto y adulto mayor 
Interrogación 4,,pdf,,,,,https://drive.google.com/file/d/1kbDPIQyLYwoUlJFfOmZzWFMqdKaEW_I7/view?usp=drivesdk,Bioquímica 
interrogación 3 ,,pdf,,,,,https://drive.google.com/file/d/11SLXw41PaQHbxZBQ8O0IuA4jaIY8jvLF/view?usp=drivesdk,Bioquímica 
Interrogación 2,,pdf,,,,,https://drive.google.com/file/d/1hURiXQtVv2HMNeW4Fvieex_XLNuNiPh8/view?usp=drivesdk,Bioquímica 
