titulo,descripcion,tipo,carrera,anio,ramo,tags,archivoUrl,rutaCarpeta
rubrica informes de lectura 2024,,pdf,,,,,https://drive.google.com/file/d/1G2dV416ZaBIeYIhboRcgQXAsIlPuVXba/view?usp=drivesdk,𝟐° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐓𝐞𝐨𝐫í𝐚𝐬 𝐒𝐨𝐜𝐢𝐚𝐥𝐞𝐬
Programa inicial de Teorias sociales PSI1206-2024 secc2,,pdf,,,,,https://drive.google.com/file/d/1d7x7nVSkUwwMvA7uxcWE0LcAVtKc0-Fw/view?usp=drivesdk,𝟐° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐓𝐞𝐨𝐫í𝐚𝐬 𝐒𝐨𝐜𝐢𝐚𝐥𝐞𝐬
Butler 1990 El género en disputa TSP,,pdf,,,,,https://drive.google.com/file/d/1dRrWO5rhIICoVXbw3_LuNEIO73H8doyj/view?usp=drivesdk,𝟐° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐓𝐞𝐨𝐫í𝐚𝐬 𝐒𝐨𝐜𝐢𝐚𝐥𝐞𝐬/Unidad 5
Foucault 1972 La verdad y las formas jurídicas -Selección TSP,,pdf,,,,,https://drive.google.com/file/d/1R-3mrqQ55K4NnWwddqktcohwrNWDZQtE/view?usp=drivesdk,𝟐° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐓𝐞𝐨𝐫í𝐚𝐬 𝐒𝐨𝐜𝐢𝐚𝐥𝐞𝐬/Unidad 4
Horkheimer y Adorno 1947 1970 La industria cultural,,pdf,,,,,https://drive.google.com/file/d/1uIOeK6i0KnWjFw5Yt_Bgxepb7zTqF_q3/view?usp=drivesdk,𝟐° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐓𝐞𝐨𝐫í𝐚𝐬 𝐒𝐨𝐜𝐢𝐚𝐥𝐞𝐬/Unidad 3
Freud 1930 2012 El malestar en la cultura,,pdf,,,,,https://drive.google.com/file/d/1tNYNjSNxG0jhncGFU4WHoyG7AcacNZpR/view?usp=drivesdk,𝟐° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐓𝐞𝐨𝐫í𝐚𝐬 𝐒𝐨𝐜𝐢𝐚𝐥𝐞𝐬/Unidad 2
"Lipovetski cap 1, 7 y 8",,pdf,,,,,https://drive.google.com/file/d/12pZR7nQ_eq7btSZ0zD8Gxw-eK51OmX4x/view?usp=drivesdk,𝟐° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐓𝐞𝐨𝐫í𝐚𝐬 𝐒𝐨𝐜𝐢𝐚𝐥𝐞𝐬/Unidad 1
"11. Herrigel, E. - Zen en el arte del tiro con el arco",,pdf,,,,,https://drive.google.com/file/d/1EIv7zSpaS_T2YpFBFydOHV29RBVwISUx/view?usp=drivesdk,𝟏° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐅𝐮𝐅𝐢/𝐓𝐞𝐱𝐭𝐨𝐬
10. Varela. F. - Ética y acción,,pdf,,,,,https://drive.google.com/file/d/10mGh4YvBo74byYMcsor6_yklLWAVO50N/view?usp=drivesdk,𝟏° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐅𝐮𝐅𝐢/𝐓𝐞𝐱𝐭𝐨𝐬
"11. G-Huidobro, V. Y Lopez, C. - Psicoanálisis y fenomenología heideggeriana",,pdf,,,,,https://drive.google.com/file/d/1IXAHG4RRRNNVoAgEeiEx7pqkxKQd5u75/view?usp=drivesdk,𝟏° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐅𝐮𝐅𝐢/𝐓𝐞𝐱𝐭𝐨𝐬
