titulo,descripcion,tipo,carrera,anio,ramo,tags,archivoUrl,carpetaRuta
Control 1.pdf,,pdf,,,,,https://drive.google.com/file/d/1aNx2kykxNu9jHhp2KOn0-_GLaFuSZG7M/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟒-𝟏
Prueba 1.pdf,,pdf,,,,,https://drive.google.com/file/d/1tgJr6RxUeF9cVXEzNk8jcAM4sAA3ceVu/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟒-𝟏
Prueba 2.pdf,,pdf,,,,,https://drive.google.com/file/d/19OHURgjj7UDEDOn565gsZlTHl5OtDImP/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟒-𝟏
Examen.pdf,,pdf,,,,,https://drive.google.com/file/d/18JYbdOJJmDhsunqaZEU2SVQn05F-jDe4/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟒-𝟏
Prueba 1.pdf,,pdf,,,,,https://drive.google.com/file/d/1lWXrMOYY5t-TAYSw3-bFPHNOrojxMgYl/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟑-𝟐
Prueba 2.pdf,,pdf,,,,,https://drive.google.com/file/d/1JFXco66W9uL0nVJHvyrestmU8GG0guKI/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟑-𝟐
Examen.pdf,,pdf,,,,,https://drive.google.com/file/d/1LSp5_B59YBa4RMHQMVppydiMnHpguxm1/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟑-𝟐
Control 1.pdf,,pdf,,,,,https://drive.google.com/file/d/1eeDcI3S3GseJBDwB4lbgDho3SI_C4Q6_/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟑-𝟐
Prueba 2.pdf,,pdf,,,,,https://drive.google.com/file/d/1mQm8VWaHz2K8PfOAvYxrDLiuB5lkQZWv/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟐-𝟏
Prueba 1.pdf,,pdf,,,,,https://drive.google.com/file/d/1z7pxk2nTrdlc-Hiuh1C3IgHv3mQKni5V/view?usp=drivesdk,𝐈𝐧𝐠 𝐂𝐨𝐦𝐞𝐫𝐜𝐢𝐚𝐥/𝟗° 𝐲 𝟏𝟎° 𝐒𝐞𝐦𝐞𝐬𝐭𝐫𝐞/𝐄𝐜𝐨𝐧𝐨𝐦í𝐚/𝐌𝐚𝐜𝐫𝐨 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐜𝐢𝐨𝐧𝐚𝐥/𝐄𝐯𝐚𝐥𝐮𝐚𝐜𝐢𝐨𝐧𝐞𝐬/𝟐𝟎𝟐𝟐-𝟏
